name,category,role
"Comedy Series","Comedy","main"
"Lead Actor","Comedy","main"
"Lead Actress","Comedy","main"
"Supporting Actor","Comedy","main"
"Supporting Actress","Comedy","main"
"Guest Actor","Comedy","main"
"Guest Actress","Comedy","main"
"Directing","Comedy","main"
"Writing","Comedy","main"
"Drama Series","Drama","main"
"Lead Actor","Drama","main"
"Lead Actress","Drama","main"
"Supporting Actor","Drama","main"
"Supporting Actress","Drama","main"
"Guest Actor","Drama","main"
"Guest Actress","Drama","main"
"Directing","Drama","main"
"Writing","Drama","main"
"Limited Series","Limited Series, Movie","main"
"Television Movie","Limited Series, Movie","main"
"Lead Actor","Limited Series, Movie","main"
"Lead Actress","Limited Series, Movie","main"
"Supporting Actor","Limited Series, Movie","main"
"Supporting Actress","Limited Series, Movie","main"
"Directing","Limited Series, Movie","main"
"Writing","Limited Series, Movie","main"
"Host For A Reality Or Competition Program","Reality","main"
"Structured Program","Reality","main"
"Unstructured Program","Reality","main"
"Competition Program","Reality","main"
"Directing","Reality","main"
"Comedy Or Drama Series","Short Form","main"
"Actor","Short Form","main"
"Actress","Short Form","main"
"Nonfiction Or Reality Series","Short Form","main"
"Variety Series","Short Form","main"
"Variety Talk Series","Variety","main"
"Variety Sketch Series","Variety","main"
"Variety Special (Live)","Variety","main"
"Variety Special (Pre-Recorded)","Variety","main"
"Directing For A Variety Series","Variety","main"
"Directing For A Variety Special","Variety","main"
"Writing For A Variety Series","Variety","main"
"Writing For A Variety Special","Variety","main"
"Individual Achievement in Animation (Juried)","Animation","secondary"
"Animated Program","Animation","secondary"
"Short Form Animated Program","Animation","secondary"
"Production Design For A Narrative Contemporary Program (One Hour Or More)","Art Directors and Set Decorators","secondary"
"Production Design For A Narrative Period Or Fantasy Program (One Hour Or More)","Art Directors and Set Decorators","secondary"
"Production Design For A Narrative Program (Half-Hour)","Art Directors and Set Decorators","secondary"
"Production Design For A Variety, Reality Or Competition Series","Art Directors and Set Decorators","secondary"
"Production Design For A Variety Special","Art Directors and Set Decorators","secondary"
"Casting For A Comedy Series","Casting Directors","secondary"
"Casting For A Drama Series","Casting Directors","secondary"
"Casting For A Limited Series, Movie Or Special","Casting Directors","secondary"
"Casting For A Reality Program","Casting Directors","secondary"
"Children's Program","Children's Programming","secondary"
"Outstanding Choreography For Variety Or Reality Programming","Choreography","secondary"
"Outstanding Choreography For Scripted Programming (Juried)","Choreography","secondary"
"Cinematography For A Limited Series Or Movie","Cinematographers","secondary"
"Cinematography For A Multi-Camera Series","Cinematographers","secondary"
"Cinematography For A Single-Camera Series (Half-Hour)","Cinematographers","secondary"
"Cinematography For A Single-Camera Series (One Hour)","Cinematographers","secondary"
"Cinematography For A Nonfiction Program","Cinematographers","secondary"
"Cinematography For A Reality Program","Cinematographers","secondary"
"Commercial","Commercials","secondary"
"Contemporary Costumes","Costume Design & Supervision","secondary"
"Period Costumes","Costume Design & Supervision","secondary"
"Fantasy/Sci-Fi Costumes","Costume Design & Supervision","secondary"
"Costumes for Variety, Nonfiction Or Reality Programming","Documentary Programming","secondary"
"Directing For A Documentary/Nonfiction Program","Documentary Programming","secondary"
"Documentary Or Nonfiction Series","Documentary Programming","secondary"
"Documentary Or Nonfiction Special","Documentary Programming","secondary"
"Exceptional Merit In Documentary Filmmaking","Documentary Programming","secondary"
"Informational Series Or Special","Documentary Programming","secondary"
"Writing For A Nonfiction Program","Documentary Programming","secondary"
"Lighting Design/Lighting Direction For A Variety Series","Lighting, Camera & Technical Arts","secondary"
"Lighting Design/Lighting Direction For A Variety Special","Lighting, Camera & Technical Arts","secondary"
"Technical Direction, Camerawork, Video Control For A Series","Lighting, Camera & Technical Arts","secondary"
"Technical Direction, Camerawork, Video Control For A Special","Lighting, Camera & Technical Arts","secondary"
"Interactive Program","Interactive Media","secondary"
"Original Interactive Program","Interactive Media","secondary"
"Creative Achievement in Interactive Media within a Scripted Program","Interactive Media","secondary"
"Creative Achievement in Interactive Media within an Unscripted Program","Interactive Media","secondary"
"Innovation in Interactive Media (Juried)","Interactive Media","secondary"
"Hairstyling For A Limited Series Or Movie","Makeup/Hairstylists","secondary"
"Hairstyling For A Multi-Camera Series Or Special","Makeup/Hairstylists","secondary"
"Hairstyling For A Single-Camera Series","Makeup/Hairstylists","secondary"
"Makeup For A Limited Series Or Movie (Non-Prosthetic)","Makeup/Hairstylists","secondary"
"Makeup For A Multi-Camera Series Or Special (Non-Prosthetic)","Makeup/Hairstylists","secondary"
"Makeup For A Single-Camera Series (Non-Prosthetic)","Makeup/Hairstylists","secondary"
"Prosthetic Makeup For A Series, Limited Series, Movie Or Special","Makeup/Hairstylists","secondary"
"Main Title Design","Motion & Title Design","secondary"
"Motion Design (Juried)","Motion & Title Design","secondary"
"Music Composition For A Limited Series, Movie Or Special (Original Dramatic Score)","Music","secondary"
"Music Composition For A Series (Original Dramatic Score)","Music","secondary"
"Music Composition For A Documentary Series Or Special (Original Dramatic Score)","Music","secondary"
"Music Direction","Music","secondary"
"Original Main Title Theme Music","Music","secondary"
"Original Music And Lyrics","Music","secondary"
"Music Supervision","Music","secondary"
"Character Voice-Over Performance","Performers","secondary"
"Narrator","Performers","secondary"
"Multi-Camera Picture Editing For A Comedy Series","Picture Editors","secondary"
"Picture Editing For A Nonfiction Program","Picture Editors","secondary"
"Picture Editing For A Structured Reality Or Competition Program","Picture Editors","secondary"
"Picture Editing For An Unstructured Reality Program","Picture Editors","secondary"
"Picture Editing for Variety Programming","Picture Editors","secondary"
"Single-Camera Picture Editing For A Comedy Series","Picture Editors","secondary"
"Single-Camera Picture Editing For A Drama Series","Picture Editors","secondary"
"Single-Camera Picture Editing For A Limited Series Or Movie","Picture Editors","secondary"
"Sound Mixing For A Comedy Or Drama Series (Half-Hour) And Animation","Sound","secondary"
"Sound Mixing For A Comedy Or Drama Series (One Hour)","Sound","secondary"
"Sound Mixing For A Limited Series Or Movie","Sound","secondary"
"Sound Mixing For A Nonfiction Program (Single Or Multi-Camera)","Sound","secondary"
"Sound Mixing For A Variety Series Or Special","Sound","secondary"
"Sound Editing For A Limited Series, Movie Or Special","Sound Editors","secondary"
"Sound Editing For A Nonfiction Program (Single Or Multi-Camera)","Sound Editors","secondary"
"Sound Editing For A Comedy Or Drama Series (One Hour)","Sound Editors","secondary"
"Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation","Sound Editors","secondary"
"Special Visual Effects","Special Visual Effects","secondary"
"Special Visual Effects In A Supporting Role","Special Visual Effects","secondary"
"Stunt Coordination For A Comedy Series Or Variety Program","Stunts","secondary"
"Stunt Coordination For A Drama Series, Limited Series Or Movie","Stunts","secondary"
